preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
LOC105373759,,,THOP1,SLC6A11,,,STX19
LOC105374313,,,THORLNC,SLC6A13,,,STX1B
LOC105375545,,,THRAP3,SLC6A16,,,STXBP1
LOC105375800,,,THTPA,SLC6A17,,,STXBP4
LOC105376194,,,THUMPD2,SLC6A18,,,STYXL1
LOC105376306,,,THY1,SLC6A20,,,SUCLA2
LOC105378127,,,TIE1,SLC6A9,,,SUCLG2
LOC105379152,,,TIGD5,SLC7A13,,,SUGT1P4-STRA6LP-CCDC180
LOC107984208,,,TIMELESS,SLC7A14-AS1,,,SULF1
LOC107985033,,,TIMM13,SLC7A7,,,SULT1A1
LOC107986163,,,TIMM17B,SLC8A2,,,SULT1C2
LOC107986845,,,TIMM22,SLC9A1,,,SULT1C4
LOC108783645,,,TIMM23,SLC9A7,,,SULT1E1
LOC283335,,,TIMM8B,SLC9C2,,,SUMF1
LOC283731,,,TIMMDC1,SLCO3A1,,,SUMO1
LOC283856,,,TIMP1,SLCO4A1,,,SUMO1P3
LOC284240,,,TIMP3,SLCO4A1-AS1,,,SUMO3
LOC284412,,,TIMP4,SLCO6A1,,,SUOX
LOC338963,,,TIPRL,SLED1,,,SUPT16H
LOC387810,,,TK1,SLF2,,,SURF2
LOC390937,,,TKFC,SLFNL1,,,SUSD1
LOC400627,,,TKT,SLIT1,,,SUSD5
LOC400682,,,TLCD1,SLIT1-AS1,,,SUV39H1
LOC400706,,,TLE5,SLIT2-IT1,,,SUZ12
LOC400867,,,TLL2,SLIT3,,,SV2A
LOC401463,,,TLN1,SLN,,,SWAP70
LOC441052,,,TLR6,SLX4,,,SWI5
LOC442132,,,TM2D2,SLX4IP,,,SWSAP1
LOC51145,,,TM4SF18,SMAD1,,,SYCE1L
LOC642366,,,TM4SF19-AS1,SMAD2,,,SYDE1
LOC643406,,,TM6SF2,SMAD3,,,SYDE2
LOC646214,,,TM7SF2,SMARCB1,,,SYMPK
LOC646471,,,TM7SF3,SMARCC2,,,SYN1
LOC653712,,,TM9SF4,SMARCD3,,,SYNCRIP
LOC727896,,,TMA16,SMC2,,,SYNDIG1L
LOC728024,,,TMA7,SMC6,,,SYNE4
LOC729930,,,TMBIM4,SMCR8,,,SYNGAP1
LOC730234,,,TMC1,SMG1,,,SYNGR1
LOC90246,,,TMC4,SMG1P2,,,SYNPO2
LOC91548,,,TMC6,SMG1P5,,,SYNPR-AS1
LPA,,,TMCC1-AS1,SMG6,,,SYP
LRGUK,,,TMCO1-AS1,SMG7,,,SYS1-DBNDD2
LRP5,,,TMCO3,SMIM13,,,SYT10
LRP5L,,,TMCO4,SMIM14,,,SYT12
LRRC3-DT,,,TMCO6,SMIM15-AS1,,,SYT13
LRRC40,,,TMED10,SMIM23,,,SYT3
LRRD1,,,TMED2,SMIM29,,,SYT4
LRRFIP2,,,TMED3,SMIM31,,,SYT6
LRRTM4,,,TMED4,SMIM32,,,SYTL1
LSM7,,,TMED9,SMIM38,,,TAC3
LTBP1,,,TMEFF1,SMIM40,,,TACO1
LUM,,,TMEM106B,SMIM6,,,TAF10
LYZL1,,,TMEM106C,SMKR1,,,TAF15
LYZL4,,,TMEM108-AS1,SMN1,,,TAF6L
MACC1,,,TMEM120A,SMN1.1,,,TAGLN
MACO1,,,TMEM121B,SMPD3,,,TAGLN3
MAFB,,,TMEM125,SMPD5,,,TAL2
MAGEA1,,,TMEM126B,SMR3B,,,TALAM1
MAGEE1,,,TMEM130,SMURF1,,,TANGO6
MAK,,,TMEM132A,SMURF2,,,TAP1
MALT1,,,TMEM135,SMYD4,,,TAPBP
MAML2,,,TMEM136,SNAI3,,,TAPBPL
MAMSTR,,,TMEM140,SNAP91,,,TAPT1-AS1
MAN1A1,,,TMEM141,SNAPIN,,,TARBP2
MAP1LC3C,,,TMEM147,SNCAIP,,,TARDBP
MAP3K11,,,TMEM147-AS1,SNCB,,,TARS
MAP3K14,,,TMEM14C,SNED1,,,TARS2
MAP3K3,,,TMEM151B,SNHG18,,,TAS2R5
MAP3K4,,,TMEM155,SNHG27,,,TATDN1
MAP3K5,,,TMEM160,SNHG28,,,TATDN3
MAP4K2,,,TMEM161A,SNORA10,,,TAX1BP3
MAP4K3,,,TMEM165,SNORA14A,,,TAZ
MAPK8,,,TMEM17,SNORA16A,,,TBC1D10C
MAPK8IP3,,,TMEM177,SNORA2A,,,TBC1D16
MAPKAPK2,,,TMEM178A,SNORA31,,,TBC1D17
MAPKAPK5,,,TMEM178B,SNORA35,,,TBC1D19
MAPT,,,TMEM183A,SNORA36C,,,TBC1D22A
MAPT-IT1,,,TMEM186,SNORA47,,,TBC1D24
MAST4-AS1,,,TMEM19,SNORA48B,,,TBC1D4
MAX,,,TMEM191A,SNORA49,,,TBC1D8B
MBD3L2B,,,TMEM196,SNORA50B,,,TBC1D9B
MBD3L2B.1,,,TMEM198,SNORA51,,,TBL1Y
MBD3L5,,,TMEM200B,SNORA54,,,TBL3
MBNL1-AS1,,,TMEM200C,SNORA60,,,TBRG4
MBOAT4,,,TMEM203,SNORA61,,,TBX22
MCEMP1,,,TMEM205,SNORA62,,,TBX5-AS1
MCHR2,,,TMEM216,SNORA63C,,,TCEAL1
MCHR2-AS1,,,TMEM218,SNORA63D,,,TCEAL2
MCM3,,,TMEM219,SNORA63E,,,TCEAL3
MCM9,,,TMEM220,SNORA65,,,TCEAL4
MECP2,,,TMEM220-AS1,SNORA71E,,,TCEAL5
MED12,,,TMEM222,SNORA75B,,,TCEAL7
MED13,,,TMEM223,SNORA77,,,TCEAL8
MEDAG,,,TMEM225B,SNORA77B,,,TCF12
MEF2B,,,TMEM229A,SNORA7A,,,TCF19
MEIOC,,,TMEM230,SNORA7B,,,TCF25
MEOX1,,,TMEM237,SNORA80A,,,TCF3
MFN2,,,TMEM241,SNORD100,,,TCF4
MFRP,,,TMEM243,SNORD101,,,TCF7L1
MFSD6,,,TMEM246,SNORD103C,,,TCF7L2
MGC12916,,,TMEM249,SNORD104,,,TCIRG1
MGC16275,,,TMEM254,SNORD105,,,TCN2
MICAL3,,,TMEM256,SNORD105B,,,TCP11L1
MID2,,,TMEM256-PLSCR3,SNORD110,,,TCTEX1D4
MIER1,,,TMEM258,SNORD114-17,,,TCTN3
MIER3,,,TMEM26,SNORD115-1,,,TDG
MINAR1,,,TMEM30B,SNORD115-15,,,TDGF1
MIP,,,TMEM35A,SNORD115-15.1,,,TDGF1P3
MIR100HG,,,TMEM38A,SNORD115-16,,,TDP2
MIR3652,,,TMEM39A,SNORD115-2,,,TEAD2
MIR3918,,,TMEM39B,SNORD115-32,,,TECPR1
MIR4527HG,,,TMEM40,SNORD115-38,,,TEDC2
MIR7705,,,TMEM42,SNORD115-39,,,TEKT3
MIR99AHG,,,TMEM44,SNORD115-4,,,TELO2
MKRN7P,,,TMEM45A,SNORD115-41,,,TEN1
MLC1,,,TMEM47,SNORD116-12,,,TEN1-CDK3
MLPH,,,TMEM59L,SNORD116-15,,,TENM3
MMP1,,,TMEM63A,SNORD116-20,,,TERF1
MMP12,,,TMEM67,SNORD116-21,,,TERT
MMP21,,,TMEM74B,SNORD116-25,,,TEX10
MORC1,,,TMEM86B,SNORD12,,,TEX12
MPZL2,,,TMEM8A,SNORD121A,,,TEX261
MRGBP,,,TMEM8B,SNORD121B,,,TEX38
MRGPRG-AS1,,,TMEM91,SNORD123,,,TEX44
MRPL42P5,,,TMEM98,SNORD125,,,TFAP2E
MSH2,,,TMIE,SNORD127,,,TFB1M
MSX2P1,,,TMLHE,SNORD12C,,,TFDP2
MTDH,,,TMPRSS11D,SNORD136,,,TFEC
MTFR1,,,TMPRSS3,SNORD138,,,TFPI2
MTHFR,,,TMSB10,SNORD144,,,TGDS
MTMR10,,,TMSB15A,SNORD14C,,,TGFB1
MTOR,,,TMSB15B,SNORD17,,,TGFB1I1
MTOR-AS1,,,TMSB15B-AS1,SNORD18A,,,TGFB2
MTPAP,,,TMSB4X,SNORD1C,,,TGFBI
MTRNR2L1,,,TMSB4Y,SNORD2,,,TGFBR3L
MTRNR2L6,,,TMTC4,SNORD21,,,TGIF1
MUC3A,,,TMUB1,SNORD24,,,TGIF2
MUSK,,,TMX1,SNORD26,,,TGM3
MUSTN1,,,TMX2,SNORD36B,,,THAP3
MVK,,,TNC,SNORD38B,,,THAP9-AS1
MYH6,,,TNFRSF10A,SNORD44,,,THBS1
MYH7,,,TNFRSF10B,SNORD4B,,,THBS3
MYL10,,,TNFRSF10C,SNORD53,,,THEM4
MYLK3,,,TNFRSF10D,SNORD57,,,THEMIS2
MYO18A,,,TNFRSF11B,SNORD60,,,THG1L
MYO1A,,,TNFRSF12A,SNORD61,,,THOC1
MYO1F,,,TNFRSF18,SNORD63,,,THOP1
MYO3B-AS1,,,TNFRSF1A,SNORD67,,,THRAP3
MYO6,,,TNFRSF21,SNORD69,,,THUMPD2
MYOM1,,,TNFRSF25,SNORD70B,,,THY1
MYOZ2,,,TNFRSF8,SNORD71,,,TIA1
MYRFL,,,TNFSF10,SNORD73A,,,TIE1
MYT1L,,,TNFSF11,SNORD80,,,TIGD1
NAA35,,,TNK1,SNORD82,,,TIGD4
NAA60,,,TNNC1,SNORD83B,,,TIGD5
NAB1,,,TNNI3K,SNORD86,,,TIMM13
NAGPA-AS1,,,TNRC6C,SNORD87,,,TIMM44
NANOS2,,,TNRC6C-AS1,SNORD88A,,,TIMM8B
NAT8L,,,TNS1,SNORD88B,,,TIMM9
NAV2-AS2,,,TNS2,SNORD90,,,TIMMDC1
NBEAL1,,,TOB2P1,SNORD91B,,,TIMP1
NBR1,,,TOE1,SNPH,,,TIMP3
NCALD,,,TOM1,SNRK,,,TIMP4
NCBP3,,,TOMM20,SNTG2-AS1,,,TJP2
NCOR1,,,TOMM22,SNX13,,,TK1
NDUFAF4P1,,,TOMM40,SNX14,,,TKFC
NEB,,,TOMM40L,SNX15,,,TKT
NECTIN3-AS1,,,TOMM7,SNX16,,,TLL2
NEFM,,,TOP1MT,SNX19,,,TLN1
NEK10,,,TOP3B,SNX21,,,TM4SF18
NEK11,,,TOR1A,SNX24,,,TM7SF2
NEK7,,,TOR4A,SNX25,,,TMA16
NEK9,,,TOX3,SNX29,,,TMC1
NEPRO,,,TP53,SNX29P2,,,TMC4
NEUROD1,,,TP53I11,SOCS2,,,TMC6
NEUROD4,,,TP53I13,SOCS7,,,TMCC1-AS1
NF1,,,TP53I3,SOHLH1,,,TMCO1-AS1
NF1P2,,,TP53TG1,SOHLH2,,,TMCO6
NF1P2.1,,,TPCN1,SORBS1,,,TMED1
NFIA,,,TPCN2,SORCS1,,,TMED10
NGLY1,,,TPD52L2,SORCS2,,,TMED7
NHLH2,,,TPGS1,SORCS3,,,TMED9
NHLRC2,,,TPGS2,SOS2,,,TMEFF1
NIN,,,TPM1,SOST,,,TMEM106B
NINL,,,TPM2,SOSTDC1,,,TMEM120A
NIPBL,,,TPM3,SOX1,,,TMEM121B
NKAIN2,,,TPM4,SOX15,,,TMEM125
NKAPD1,,,TPMT,SOX30,,,TMEM126B
NKTR,,,TPRN,SOX5,,,TMEM130
NKX2-1-AS1,,,TPTEP2,SOX6,,,TMEM132A
NKX2-3,,,TPTEP2-CSNK1E,SOX7,,,TMEM135
NKX6-2,,,TRA2B,SP2,,,TMEM136
NLGN1,,,TRABD,SP3,,,TMEM139
NLRC3,,,TRABD2A,SP4,,,TMEM141
NLRC4,,,TRAF3IP2-AS1,SP9,,,TMEM145
NLRP11,,,TRAF7,SPA17,,,TMEM147
NLRP8,,,TRAM1,SPACA4,,,TMEM147-AS1
NOD2,,,TRAM1L1,SPAG1,,,TMEM14C
NOL10,,,TRAP1,SPAG17,,,TMEM160
NOL4,,,TRAPPC3,SPAG6,,,TMEM161A
NOM1,,,TRAPPC4,SPAG8,,,TMEM165
NOP2,,,TRAPPC5,SPANXA2-OT1,,,TMEM17
NPHP3-AS1,,,TRAPPC6A,SPANXN3,,,TMEM177
NPIPB11,,,TRDMT1,SPAST,,,TMEM178A
NPIPB4,,,TRDN,SPATA19,,,TMEM178B
NPNT,,,TREX1,SPATA2,,,TMEM18
NR1D1,,,TRG-AS1,SPATA21,,,TMEM190
NR4A3,,,TRH,SPATA22,,,TMEM191A
NRCAM,,,TRIB2,SPATA3,,,TMEM203
NRDE2,,,TRIB3,SPATA31A1,,,TMEM205
NRL,,,TRIM14,SPATA31A1.1,,,TMEM213
NTN4,,,TRIM16,SPATA4,,,TMEM214
NTRK3-AS1,,,TRIM16L,SPATA42,,,TMEM216
NUDT11,,,TRIM21,SPATA48,,,TMEM220
NUFIP2,,,TRIM22,SPCS2,,,TMEM220-AS1
NUP58,,,TRIM24,SPECC1,,,TMEM222
NUTM2D,,,TRIM25,SPEGNB,,,TMEM223
NXNL2,,,TRIM27,SPERT,,,TMEM234
NXPE2,,,TRIM34,SPG11,,,TMEM237
OACYLP,,,TRIM44,SPG21,,,TMEM238
OAS3,,,TRIM47,SPG7,,,TMEM240
ODF2,,,TRIM5,SPHKAP,,,TMEM241
OGFRP1,,,TRIM52-AS1,SPICE1,,,TMEM242
OLFM2,,,TRIM54,SPIN3,,,TMEM246
OLIG3,,,TRIM65,SPINDOC,,,TMEM254
OPA1,,,TRIM66,SPINK6,,,TMEM256
OPN1SW,,,TRIML2,SPINT2,,,TMEM256-PLSCR3
OPN5,,,TRIP13,SPIRE1,,,TMEM258
OR2A4,,,TRIP4,SPNS2,,,TMEM26
OR2AG2,,,TRIP6,SPNS3,,,TMEM265
OR2D3,,,TRIQK,SPOCD1,,,TMEM30B
OR2L3,,,TRMT1,SPOCK3,,,TMEM35A
OR2M5,,,TRMT10B,SPON1,,,TMEM38A
OR2M7,,,TRMT12,SPON2,,,TMEM44
OR2T11,,,TRMT61A,SPR,,,TMEM45A
OR2V1,,,TRMT61B,SPRN,,,TMEM47
OR2W5,,,TRMU,SPRR2A,,,TMEM59L
OR3A2,,,TRNAU1AP,SPRR2E,,,TMEM63A
OR3A3,,,TRNP1,SPRR2F,,,TMEM67
OR4D10,,,TRO,SPRR2G,,,TMEM8A
OR51B5,,,TRPC1,SPRR3,,,TMEM91
OR51Q1,,,TRPC5,SPRTN,,,TMEM98
OR51T1,,,TRPM1,SPRY4-AS1,,,TMIE
OR52E1,,,TRPM3,SPRY4-IT1,,,TMIGD2
OR52K2,,,TRPM8,SPSB1,,,TMLHE
OR5D14,,,TRPS1,SPTB,,,TMPO-AS1
OR9G9,,,TRPT1,SPTBN1,,,TMPRSS11D
ORC2,,,TRUB2,SPTBN4,,,TMSB10
ORM2,,,TSC22D1,SPTBN5,,,TMSB15A
OSBPL8,,,TSC22D3,SPTY2D1OS,,,TMSB15B
OSER1-DT,,,TSEN15,SQOR,,,TMSB4Y
OSGIN1,,,TSEN2,SRARP,,,TMTC3
OSTM1-AS1,,,TSEN34,SRBD1,,,TMTC4
OTOF,,,TSEN54,SRCIN1,,,TMUB1
OTX2,,,TSHZ3,SRD5A1P1,,,TMX1
OVOS2,,,TSL,SRD5A2,,,TMX2-CTNND1
P2RY1,,,TSN,SREBF2,,,TNC
P3R3URF,,,TSNARE1,SREK1,,,TNFAIP2
PACSIN2,,,TSPAN17,SRGAP2D,,,TNFAIP6
PALM3,,,TSPAN2,SRGAP2D.1,,,TNFRSF10A
PAN3,,,TSPAN3,SRGAP3,,,TNFRSF10B
PAPLN,,,TSPAN31,SRI,,,TNFRSF10C
PAPOLG,,,TSPAN33,SRPK1,,,TNFRSF10D
PARG,,,TSPAN4,SRPK3,,,TNFRSF11B
PAX9,,,TSPAN6,SRSF8,,,TNFRSF12A
PAXBP1-AS1,,,TSPEAR-AS1,SSBP2,,,TNFRSF18
PBX2,,,TSPEAR-AS2,SSBP3,,,TNFRSF1A
PBX3,,,TSPO,SSBP3-AS1,,,TNFRSF21
PCAT18,,,TSPOAP1,SSH1,,,TNFRSF8
PCAT7,,,TSPY26P,SSH2,,,TNFSF11
PCBP2,,,TSPYL2,SSTR3,,,TNFSF15
PCDH10,,,TSR2,SSTR5,,,TNK1
PCDH12,,,TSR3,SSTR5-AS1,,,TNKS
PCDH19,,,TSSC2,SSUH2,,,TNKS1BP1
PCDH8,,,TSSC4,SSX2IP,,,TNMD
PCDHA1,,,TST,SSX6P,,,TNNC1
PCDHA5,,,TSTA3,SSX7,,,TNNI2
PCDHAC2,,,TSTD1,ST14,,,TNNT2
PCDHB7,,,TSTD3,ST18,,,TNRC6C-AS1
PDC,,,TTC19,ST3GAL4,,,TNS1
PDE1A,,,TTC27,ST3GAL5,,,TNS2
PDE1B,,,TTC37,ST5,,,TNXB
PDE6A,,,TTC38,ST6GALNAC2,,,TNXB.1
PDE6C,,,TTC3P1,ST6GALNAC5,,,TOB2P1
PDHA2,,,TTC4,ST6GALNAC6,,,TOM1
PDK2,,,TTC8,STAB1,,,TOMM20
PDK4,,,TTC9,STAG1,,,TOMM40L
PEAK1,,,TTLL12,STAM2,,,TOMM7
PEAR1,,,TTLL6,STARD3,,,TONSL
PECAM1,,,TTTY14,STARD3NL,,,TOP1MT
PEX1,,,TTTY15,STARD4-AS1,,,TOP2B
PEX14,,,TTYH1,STARD7,,,TOR4A
PEX5L-AS2,,,TTYH3,STARD9,,,TOX3
PGM5P2,,,TUBA1A,STAU2,,,TP53
PHC3,,,TUBA1B,STEAP2-AS1,,,TP53BP1
PHF10,,,TUBA8,STEAP4,,,TP53I11
PHF14,,,TUBB,STH,,,TP53I3
PHF21A,,,TUBB2A,STK11,,,TP53RK
PHF3,,,TUBB2B,STK24,,,TP53TG5
PHKB,,,TUBB3,STK32A-AS1,,,TPBG
PHOX2B,,,TUBB6,STK32B,,,TPCN2
PI4K2B,,,TUBG1,STK35,,,TPD52L1
PICALM,,,TUBGCP2,STK38,,,TPGS1
PIGA,,,TUBGCP5,STK4,,,TPGS2
PIGZ,,,TUFT1,STK4-AS1,,,TPM1
PIH1D2,,,TUNAR,STK40,,,TPM2
PIK3R6,,,TUSC3,STMN4,,,TPM3
PILRB,,,TUT1,STOML1,,,TPM4
PIN4P1,,,TUT4,STOML3,,,TPP1
PIPSL,,,TVP23C,STPG1,,,TPP2
PITPNB,,,TWIST2,STPG2,,,TPPP2
PKD1L3,,,TXLNA,STRBP,,,TPTE2P3
PLA2G2A,,,TXLNGY,STRC,,,TPTEP2-CSNK1E
PLA2R1,,,TXN,STRIP2,,,TRA2A
PLCD4,,,TXNDC12,STT3A,,,TRA2B
PLCE1,,,TXNDC15,STT3B,,,TRABD
PLCE1-AS2,,,TXNDC2,STX12,,,TRABD2A
PLEKHA4,,,TXNDC5,STX16,,,TRAM1L1
PLEKHA6,,,TXNL1,STX16-NPEPL1,,,TRAM2-AS1
PLEKHH2,,,TXNL4A,STX2,,,TRAP1
PLEKHH3,,,TXNRD2,STX6,,,TRAPPC12
PLEKHM1,,,TXNRD3,STX7,,,TRAPPC2L
PLXNB3,,,TYMP,STXBP5-AS1,,,TRAPPC4
PMS2P3,,,TYMS,SUCLG2-AS1,,,TRAPPC5
PMS2P9,,,TYMSOS,SUFU,,,TRDMT1
PNMA6F,,,TYW3,SUGCT,,,TRDN
POLA1,,,U2AF1,SUGT1P1,,,TREML1
POLD3,,,U2AF1L5,SUGT1P3,,,TRERF1
POLK,,,UBA2,SULF2,,,TRIAP1
POLL,,,UBA3,SULT1C3,,,TRIB1
POLR1B,,,UBA6-AS1,SULT4A1,,,TRIB2
POLR3D,,,UBAC2,SULT6B1,,,TRIM21
POLR3G,,,UBC,SUN1,,,TRIM22
POPDC3,,,UBE2A,SUPT20H,,,TRIM24
POU2F1,,,UBE2D1,SUPT20HL1,,,TRIM25
POU2F2,,,UBE2D2,SUPT20HL2,,,TRIM27
POU2F3,,,UBE2E1,SUPT3H,,,TRIM28
POU6F2-AS2,,,UBE2E2,SUPV3L1,,,TRIM46
PP12613,,,UBE2E3,SURF4,,,TRIM47
PPDPF,,,UBE2F,SUSD3,,,TRIM5
PPFIA2,,,UBE2G2,SUSD6,,,TRIM54
PPIAL4G,,,UBE2I,SUV39H2,,,TRIM55
PPM1L,,,UBE2J1,SV2B,,,TRIM56
PPP1R13B,,,UBE2K,SVIL,,,TRIM59-IFT80
PPP2R1B,,,UBE2L6,SVOPL,,,TRIM6-TRIM34
PPP2R2A,,,UBE2N,SWT1,,,TRIM65
PPP2R2C,,,UBE2S,SYCE3,,,TRIM72
PPP3CC,,,UBE2V2,SYCN,,,TRIM9
PPP3R1,,,UBE3C,SYN2,,,TRIP13
PPP4R1,,,UBE3D,SYN3,,,TRIP4
PPWD1,,,UBL4B,SYNDIG1,,,TRIP6
PRAC2,,,UBL7,SYNE1,,,TRIQK
PRAMEF1,,,UBQLN2,SYNE2,,,TRMT1
PRAMEF10,,,UBQLN4,SYNGR3,,,TRMT10B
PRAMEF10.1,,,UBXN2B,SYNJ1,,,TRMT10C
PRAMEF14,,,UCHL1-AS1,SYNJ2,,,TRMT12
PRAMEF36P,,,UCHL5,SYNM,,,TRMT13
PRAMEF36P.1,,,UCK1,SYNPR,,,TRMT61B
PRAMEF6,,,UCK2,SYPL2,,,TRMU
PRAMEF6.1,,,UCKL1,SYT1,,,TRNP1
PRDM8,,,UCP2,SYT14,,,TRO
PRDM9,,,UCP3,SYT16,,,TRPC1
PRELP,,,UFD1,SYT17,,,TRPC4
PRG4,,,UFSP1,SYTL2,,,TRPC5
PRKAG1,,,UGDH-AS1,SYTL3,,,TRPM1
PRKCA,,,UGGT2,SYTL4,,,TRPM3
PRKD1,,,UGP2,SZT2,,,TRPT1
PRKG1,,,UGT3A1,TAB1,,,TRUB1
PRKG1-AS1,,,UGT3A2,TAB2,,,TRUB2
PRMT8,,,ULBP1,TAB3,,,TSC2
PROCA1,,,ULK3,TACC1,,,TSC22D3
PROX1-AS1,,,UMPS,TACC2,,,TSEN15
PROX2,,,UNC119,TACR1,,,TSEN54
PROZ,,,UNC119B,TADA1,,,TSHZ3
PRPF6,,,UNC13A,TADA2A,,,TSL
PRR12,,,UNC45A,TADA3,,,TSLP
PRR14L,,,UNC50,TAF1,,,TSN
PRR32,,,UNC5A,TAF12,,,TSPAN11
PRR36,,,UNC5CL,TAF1A-AS1,,,TSPAN3
PRRC2A,,,UNC5D,TAF2,,,TSPAN31
PRRG2,,,UNC93B1,TAF4,,,TSPAN33
PRRT1,,,UPK1A-AS1,TAF4B,,,TSPAN4
PRSS37,,,UPK1B,TAF5,,,TSPAN6
PRTG,,,UPK3B,TAF6,,,TSPEAR-AS2
PSMD1,,,UPRT,TAFA1,,,TSPO
PSMD2,,,UQCC1,TAFA4,,,TSPY26P
PTCHD1-AS,,,UQCC2,TAFA5,,,TSR2
PTCHD3,,,UQCRB,TAL1,,,TSR3
PTEN,,,UQCRC2,TAMM41,,,TSSC2
PTENP1-AS,,,UQCRQ,TANC1,,,TST
PTGER4,,,URM1,TAOK1,,,TSTA3
PTP4A2,,,UROD,TAOK2,,,TSTD3
PTPRD,,,UROS,TAPT1,,,TTC1
PTPRJ,,,USB1,TARBP1,,,TTC19
PTPRM,,,USP10,TARM1,,,TTC21B
PTX3,,,USP18,TASOR,,,TTC22
PUM2,,,USP19,TASOR2,,,TTC23
PURG,,,USP22,TASP1,,,TTC27
PUS10,,,USP27X-AS1,TAT,,,TTC37
PUS7L,,,USP33,TAT-AS1,,,TTC38
PWRN1,,,USP39,TBC1D1,,,TTC39B
PWWP3B,,,USP44,TBC1D10B,,,TTC39C-AS1
PXT1,,,USP46,TBC1D14,,,TTC3P1
QTRT2,,,USP46-AS1,TBC1D15,,,TTC4
R3HDM2,,,USP48,TBC1D2,,,TTC7A
RAB2B,,,USP51,TBC1D22B,,,TTF2
RAB33B,,,USP9Y,TBC1D23,,,TTI2
RAB4B-EGLN2,,,UST,TBC1D28,,,TTLL12
RABEP2,,,UTAT33,TBC1D2B,,,TTLL6
RABL2A,,,UTP18,TBC1D31,,,TTTY14
RAD18,,,UTP4,TBC1D32,,,TTTY15
RAD21,,,UTY,TBC1D3B,,,TTYH1
RAD21-AS1,,,UVRAG-DT,TBC1D3P2,,,TTYH3
RAD21L1,,,VAC14,TBC1D7,,,TUB
RAET1E,,,VAMP5,TBC1D8,,,TUBA1A
RAET1K,,,VANGL1,TBC1D8-AS1,,,TUBA1B
RALGAPB,,,VANGL2,TBC1D9,,,TUBA8
RANBP17,,,VARS2,TBCEL,,,TUBB
RANGAP1,,,VASH1-AS1,TBCK,,,TUBB2A
RAP2C,,,VASH2,TBL1X,,,TUBB2B
RASA4,,,VASP,TBPL1,,,TUBB3
RASSF8,,,VAT1,TBR1,,,TUBB4B
RASSF8-AS1,,,VAT1L,TBX2-AS1,,,TUBB6
RB1-DT,,,VBP1,TBX21,,,TUBG1
RBM26-AS1,,,VCAN,TBX5,,,TUBGCP6
RBM6,,,VCL,TBX6,,,TUFM
RBMX2,,,VDAC1,TBXAS1,,,TULP1
RBMXL3,,,VDAC2,TBXT,,,TUNAR
RCOR3,,,VDAC3,TC2N,,,TUSC3
RCSD1,,,VDR,TCAF1,,,TUT4
REG1B,,,VEZT,TCAIM,,,TWF2
RELL2,,,VGF,TCAM1P,,,TXLNA
RELN,,,VGLL2,TCAP,,,TXLNG
RFPL3,,,VGLL3,TCEA3,,,TXLNGY
RFPL3S,,,VIM,TCEANC,,,TXN
RFPL4A,,,VIM-AS1,TCF20,,,TXNDC12
RFPL4AL1,,,VIPR1,TCF21,,,TXNDC9
RFPL4B,,,VMA21,TCF7,,,TXNL1
RFX3,,,VOPP1,TCHP,,,TXNL4A
RFX4,,,VPREB3,TCN1,,,TXNRD3
RFXAP,,,VPS25,TCTEX1D1,,,TYMP
RGMB-AS1,,,VPS33A,TCTN2,,,TYMSOS
RGPD6,,,VPS33B,TDP1,,,TYRO3
RGPD6.1,,,VPS33B-DT,TDRD15,,,TYW5
RGS18,,,VPS41,TDRP,,,U2AF1
RGS4,,,VPS4A,TECPR2,,,U2AF1L5
RGS7BP,,,VPS51,TECRL,,,U2AF2
RHOJ,,,VPS52,TECTA,,,U2SURP
RIBC1,,,VPS9D1-AS1,TECTB,,,UBA1
RICTOR,,,VRK3,TEK,,,UBA2
RIF1,,,VRTN,TEKT4,,,UBA52
RIOK3,,,VSIG1,TENM3-AS1,,,UBA6-AS1
RIPK2,,,VSNL1,TENM4,,,UBALD1
RLF,,,VSTM1,TENT2,,,UBAP1L
RN7SL1,,,VSTM2A,TENT4A,,,UBC
RNASE6,,,VSTM4,TENT5B,,,UBE2D1
RNASET2,,,VTN,TENT5C,,,UBE2D2
RND1,,,VWA7,TENT5D,,,UBE2E1
RNF13,,,VWC2,TEPP,,,UBE2E3
RNF169,,,VWCE,TERB1,,,UBE2F-SCLY
RNF17,,,VWDE,TESC,,,UBE2G2
RNF181,,,WAC-AS1,TESK1,,,UBE2J1
RNF182,,,WARS,TESMIN,,,UBE2J2
RNF216P1,,,WASHC5,TESPA1,,,UBE2L3
RNPC3,,,WASIR2,TET2-AS1,,,UBE2L6
RNVU1-18,,,WBP1,TET3,,,UBE2M
RNVU1-18.1,,,WBP2,TEX14,,,UBE2N
ROCR,,,WDFY2,TEX15,,,UBE2Q1
ROPN1,,,WDR1,TEX2,,,UBE2QL1
RORA,,,WDR12,TEX22,,,UBE2V1
RP9P,,,WDR13,TEX28,,,UBE2V2
RPH3AL,,,WDR17,TEX33,,,UBE3D
RPP21,,,WDR18,TEX35,,,UBE4B
RPS16P5,,,WDR3,TEX37,,,UBL4A
RPS4Y2,,,WDR46,TEX41,,,UBL7-AS1
RPS6KA2,,,WDR54,TEX47,,,UBLCP1
RSBN1L,,,WDR59,TEX52,,,UBQLN2
RSPH10B,,,WDR5B,TFAMP1,,,UBQLN4
